conso_id;annee;conso_agri;conso_indu;conso_tert;conso_resi;conso_autre;conso_totale;code_dep
2453;2013;0;212286;266251;0;0;478537;92
2604;2015;1871;684893;4058545;3649099;57985;8452394;92
2774;2016;0;209296;262199;0;0;471495;92
2811;2017;5054;714064;3966389;3631224;310;8317042;92
2880;2017;0;204071;271074;0;0;475144;92
2929;2018;545;796599;4488893;2675934;241396;8203368;92
3188;2020;0;105786;303725;0;0;409511;92
196;2013;1419;517435;2982741;3331074;15888;6848557;93
252;2013;0;35175;496444;0;0;531620;93
322;2014;0;14076;480279;0;0;494355;93
363;2015;940;465925;2958105;3129968;7364;6562302;93
439;2015;0;5500;493770;0;0;499270;93
733;2018;8048;567196;3492893;2356596;216080;6640812;93
911;2019;0;0;490828;0;0;490828;93
1135;2021;0;0;468476;0;0;468476;93
1182;2011;1846;493579;2708420;3061482;19109;6284436;93
1218;2012;1893;510341;2883257;3242200;11843;6649534;93
1259;2012;0;61923;480621;0;0;542543;93
1380;2014;1034;456311;2866181;3060844;9133;6393503;93
1639;2016;0;3283;499202;0;0;502485;93
1687;2017;786;510303;2963017;3151147;13;6625265;93
1864;2018;0;75;491835;0;0;491909;93
2020;2020;964;585425;3438440;2405790;46784;6477404;93
2718;2016;984;476898;3018644;3214731;13721;6724978;93
2881;2017;0;2047;502531;0;0;504578;93
3023;2019;7672;590078;3450373;2338480;189653;6576255;93
3189;2020;0;0;433442;0;0;433442;93
3241;2021;1127;643160;3636507;2465531;19670;6765996;93
164;2012;0;311382;312703;0;0;624085;94
286;2014;798;386247;2371995;2832713;5846;5597599;94
323;2014;0;334611;402647;0;0;737259;94
577;2017;0;0;0;56378;0;56378;94
618;2017;1031;429004;2349664;2901353;209;5681260;94
801;2018;0;131373;454053;0;0;585426;94
855;2019;1591;542093;2721827;2144505;190741;5600757;94
1028;2020;0;124944;428250;0;0;553194;94
1136;2021;0;127502;432270;0;0;559772;94
1183;2011;1034;373642;2351255;2874843;9127;5609901;94
1219;2012;1005;387451;2411938;3028757;8171;5837323;94
1640;2016;0;303267;298129;0;0;601396;94
1801;2018;1278;521587;2774837;2166292;190168;5654163;94
1880;2019;0;2040;13765;55124;2718;73647;94
1983;2020;0;0;0;41049;21437;62486;94
2021;2020;1773;554374;2645310;2188630;43866;5433954;94
2139;2021;1611;594847;2716872;2254194;25131;5592655;94
2402;2013;824;400530;2484262;3104489;8888;5998992;94
2454;2013;0;320445;317345;0;0;637790;94
2568;2015;0;1093;16481;51919;21;69514;94
2605;2015;854;389801;2407317;2899837;4880;5702690;94
2666;2015;0;354610;380945;0;0;735554;94
2683;2016;0;0;0;54628;0;54628;94
2719;2016;866;415959;2403258;2978510;13528;5812121;94
2882;2017;0;309381;281677;0;0;591059;94
3090;2019;0;127254;474063;0;0;601317;94
3205;2021;0;2782;11976;45781;12137;72677;94
165;2012;0;53272;360373;0;0;413645;95
197;2013;4753;537616;1947441;3124852;10729;5625390;95
253;2013;0;55408;352802;0;0;408210;95
364;2015;4824;510947;1884817;2909731;4510;5314830;95
553;2016;0;53530;334027;0;0;387557;95
962;2020;8571;468863;2026677;2354296;19805;4878213;95
1032;2020;675;1205;8030;43615;20;53545;95
1077;2021;7505;481198;2160341;2458449;7877;5115371;95
1141;2021;326;1579;8364;48173;2391;60833;95
1220;2012;5093;529694;1900705;3045066;8888;5489445;95
1645;2016;367;2639;3164;53322;0;59493;95
1756;2017;0;51526;332524;0;0;384050;95
1762;2017;322;776;3119;54782;0;59000;95
1802;2018;7551;524157;2111106;2329113;152944;5124870;95
1871;2018;420;887;4816;51004;0;57127;95
1969;2019;0;0;373813;0;0;373813;95
2087;2020;0;0;292286;0;0;292286;95
2214;2021;0;0;309601;0;0;309601;95
2255;2011;6096;514069;1808137;2853967;11045;5193314;95
2498;2014;4751;506813;1862099;2824155;6017;5203835;95
2560;2014;0;54557;339111;0;0;393668;95
2667;2015;0;54376;345850;0;0;400227;95
2672;2015;366;1219;4738;55627;0;61950;95
2720;2016;4669;503172;1906751;3001221;1948;5417762;95
2812;2017;4905;500594;1709003;2918920;61;5133483;95
2981;2018;0;0;364265;0;0;364265;95
3024;2019;8229;480662;2106541;2318549;142298;5056279;95
3094;2019;399;940;4633;51996;0;57968;95
258;2014;0;0;0;0;1506796;1506796;971
455;2016;0;0;0;0;1556115;1556115;971
1194;2012;0;0;0;0;1503392;1503392;971
1656;2017;3751;125833;505424;723830;160155;1518993;971
1773;2018;6187;113868;579488;688241;75081;1462866;971
1986;2020;3161;109166;523956;722439;115857;1474580;971
2107;2021;3727;115538;528106;703794;97367;1448532;971
2367;2013;0;0;0;0;1521041;1521041;971
2571;2015;0;0;0;0;1503688;1503688;971
2997;2019;3180;108631;549339;678206;125915;1465270;971
327;2015;0;0;0;0;1406343;1406343;972
456;2016;0;0;0;0;1438066;1438066;972
700;2018;10402;138833;577162;583509;66561;1376467;972
817;2019;9373;115217;521513;583525;141039;1370667;972
1263;2013;0;0;0;0;1431274;1431274;972
1350;2014;0;0;0;0;1433212;1433212;972
1657;2017;7265;144919;454880;602403;199245;1408712;972
2281;2012;0;0;0;0;1429227;1429227;972
3101;2020;9615;112170;501910;609812;133945;1367453;972
3208;2021;9627;119400;503456;601690;133062;1367236;972
259;2014;0;0;0;0;776460;776460;973
457;2016;0;0;0;0;825054;825054;973
579;2017;1375;48357;340657;306726;111910;809025;973
818;2019;434;30925;415473;308748;66152;821732;973
2108;2021;787;36855;411314;326897;58977;834829;973
2282;2012;0;0;0;0;747709;747709;973
2368;2013;0;0;0;0;777622;777622;973
2572;2015;0;0;0;0;793532;793532;973
2895;2018;1601;36509;408138;301128;61500;808877;973
3102;2020;488;31299;406748;320806;63044;822385;973
580;2017;18686;457261;839297;1189788;171511;2676543;974
701;2018;21646;300507;1097609;1211464;90076;2721301;974
935;2020;17970;276253;1088782;1272268;63351;2718624;974
1046;2021;19327;284991;1153368;1293107;63101;2813893;974
1195;2012;0;0;0;0;2465076;2465076;974
1543;2016;0;0;0;0;2708529;2708529;974
1882;2019;17184;292879;1128790;1229689;74661;2743204;974
2369;2013;0;0;0;0;2560392;2560392;974
2459;2014;0;0;0;0;2554701;2554701;974
2573;2015;0;0;0;0;2636993;2636993;974
328;2015;410;67702;27208;137351;40955;273626;976
458;2016;429;70892;72729;158637;0;302687;976
936;2020;417;80742;32170;186376;44537;344243;976
1774;2018;400;71243;33598;167864;40710;313815;976
1883;2019;417;84469;35731;175283;42516;338416;976
2784;2017;423;71253;73954;162450;0;308079;976
3209;2021;208;83785;31207;178096;49272;342568;976
65;2012;0;0;0;0;915690;915690;2A
167;2013;0;0;0;0;901845;901845;2A
578;2017;4008;67964;278101;493608;112146;955827;2A
699;2018;5732;62350;364054;508665;51438;992239;2A
1348;2014;0;0;0;0;953490;953490;2A
1984;2020;3463;55376;319785;513424;45733;937780;2A
2569;2015;0;0;0;0;949509;949509;2A
2685;2016;0;0;0;0;936596;936596;2A
2996;2019;3282;57401;322840;522619;79768;985909;2A
3206;2021;4371;60556;350274;551140;42016;1008356;2A
454;2016;0;0;0;0;959633;959633;2B
815;2019;7840;45727;317191;541944;75803;988505;2B
934;2020;8282;50185;316414;527293;42830;945004;2B
1193;2012;0;0;0;0;974672;974672;2B
1349;2014;0;0;0;0;990436;990436;2B
1655;2017;9532;57845;296800;530843;100433;995453;2B
